timestamp,rank,nick,pontos
2026-03-03 20:41:55,1,Ukyo,3304
2026-03-03 20:41:55,2,Shinso,2255
2026-03-03 20:41:55,3,Yuta,1574
2026-03-03 20:41:55,4,Cupom:diimoura10,741
2026-03-03 20:41:55,5,Tensei-EA,701
2026-03-03 20:41:55,6,Laielly,609
2026-03-03 20:41:55,7,ViniM,577
2026-03-03 20:41:55,8,Verso',545
2026-03-03 20:41:55,9,vVini,453
2026-03-03 20:41:55,10,Stan',450
2026-03-03 20:42:58,1,GOD.GAME.GG.XDD,100
2026-03-03 20:42:58,2,Dellair,44
2026-03-03 20:42:58,3,xandinho,41
2026-03-03 20:42:58,4,Melty,29
2026-03-03 20:42:58,5,Lunari,27
2026-03-03 20:42:58,6,JiaTan,20
2026-03-03 20:42:58,7,judy,15
2026-03-03 20:42:58,8,ALoprado,13
2026-03-03 20:42:58,9,KingD,13
2026-03-03 20:42:58,10,Jing,10
2026-03-03 20:43:44,1,GOD.GAME.GG.XDD,100
2026-03-03 20:43:44,2,Dellair,44
2026-03-03 20:43:44,3,xandinho,41
2026-03-03 20:43:44,4,Melty,29
2026-03-03 20:43:44,5,Lunari,27
2026-03-03 20:43:44,6,JiaTan,20
2026-03-03 20:43:44,7,judy,15
2026-03-03 20:43:44,8,ALoprado,13
2026-03-03 20:43:44,9,KingD,13
2026-03-03 20:43:44,10,Jing,10
2026-03-03 20:51:42,1,GOD.GAME.GG.XDD,100
2026-03-03 20:51:42,2,Dellair,44
2026-03-03 20:51:42,3,xandinho,41
2026-03-03 20:51:42,4,Melty,29
2026-03-03 20:51:42,5,Lunari,27
2026-03-03 20:51:42,6,JiaTan,20
2026-03-03 20:51:42,7,judy,15
2026-03-03 20:51:42,8,ALoprado,13
2026-03-03 20:51:42,9,KingD,13
2026-03-03 20:51:42,10,Jing,10
2026-03-03 22:15:26,1,GOD.GAME.GG.XDD,100
2026-03-03 22:15:26,2,xandinho,52
2026-03-03 22:15:26,3,Dellair,51
2026-03-03 22:15:26,4,Melty,36
2026-03-03 22:15:26,5,Lunari,27
2026-03-03 22:15:26,6,JiaTan,20
2026-03-03 22:15:26,7,ALoprado,15
2026-03-03 22:15:26,8,judy,15
2026-03-03 22:15:26,9,KingD,13
2026-03-03 22:15:26,10,Jing,10
2026-03-04 00:13:42,1,GOD.GAME.GG.XDD,100
2026-03-04 00:13:42,2,Dellair,60
2026-03-04 00:13:42,3,xandinho,52
2026-03-04 00:13:42,4,Melty,44
2026-03-04 00:13:42,5,Lunari,27
2026-03-04 00:13:42,6,JiaTan,20
2026-03-04 00:13:42,7,judy,19
2026-03-04 00:13:42,8,ALoprado,15
2026-03-04 00:13:42,9,KingD,13
2026-03-04 00:13:42,10,Jing,10
2026-03-04 00:17:22,1,GOD.GAME.GG.XDD,100
2026-03-04 00:17:22,2,Dellair,60
2026-03-04 00:17:22,3,xandinho,52
2026-03-04 00:17:22,4,Melty,44
2026-03-04 00:17:22,5,Lunari,27
2026-03-04 00:17:22,6,JiaTan,20
2026-03-04 00:17:22,7,judy,19
2026-03-04 00:17:22,8,ALoprado,15
2026-03-04 00:17:22,9,KingD,13
2026-03-04 00:17:22,10,Jing,10
2026-03-04 02:47:04,1,GOD.GAME.GG.XDD,100
2026-03-04 02:47:04,2,Dellair,66
2026-03-04 02:47:04,3,Melty,54
2026-03-04 02:47:04,4,xandinho,52
2026-03-04 02:47:04,5,Lunari,27
2026-03-04 02:47:04,6,JiaTan,20
2026-03-04 02:47:04,7,judy,19
2026-03-04 02:47:04,8,KingD,15
2026-03-04 02:47:04,9,ALoprado,15
2026-03-04 02:47:04,10,Jing,10
